State,City,Population,"Violent
crime","Property
crime",Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants"
Louisiana,New Orleans,393447,2041,7586,0.01,518.75,0.02,1928.09
Oklahoma,Tulsa,"401,520","2,064","11,532",0.01,514.05,0.03,2872.09
Minnesota,Minneapolis,413479,2111,7607,0.01,510.55,0.02,1839.75
California,Oakland,419481,2952,11450,0.01,703.73,0.03,2729.56
Florida,Miami,437969,1953,9473,0,445.92,0.02,2162.94
Nebraska,Omaha,452252,1141,8166,0,252.29,0.02,1805.63
Colorado,Colorado Springs,452410,1135,7574,0,250.88,0.02,1674.15
Virginia,Virginia Beach,"452,797",344,"4,798",0,75.97,0.01,1059.64
Georgia,Atlanta,464710,2531,11522,0.01,544.64,0.02,2479.4
Arizona,Mesa,471034,1069,5517,0,226.95,0.01,1171.25
Missouri,Kansas City,473373,3668,9204,0.01,774.86,0.02,1944.34
California,Long Beach,476318,1405,6900,0,294.97,0.01,1448.61
California,Sacramento,489717,1733,7875,0,353.88,0.02,1608.07
California,Fresno,520837,1613,10334,0,309.69,0.02,1984.11
Arizona,Tucson,529675,1988,15773,0,375.32,0.03,2977.86
New Mexico,Albuquerque,559721,2897,17888,0.01,517.58,0.03,3195.88
Wisconsin,Milwaukee,"600,400","4,427","11,359",0.01,737.34,0.02,1891.91
Maryland,Baltimore,621252,5176,13822,0.01,833.16,0.02,2224.86
Oklahoma,Oklahoma City,"630,621","2,462","12,436",0,390.41,0.02,1972.02
Tennessee,Memphis,"657,936","5,733","16,833",0.01,871.36,0.03,2558.46
Tennessee,Nashville,"658,029","3,398","11,480",0.01,516.39,0.02,1744.6
Michigan,Detroit,673225,5409,13442,0.01,803.45,0.02,1996.66
Kentucky,Louisville Metro,680550,2243,14378,0,329.59,0.02,2112.7
Colorado,Denver,682418,2126,12336,0,311.54,0.02,1807.69
Washington,Seattle,"683,700","2,058","19,148",0,301.01,0.03,2800.64
